136	137	DEFER	D2	-	Questions heading
138	139	PROMOTE	P-quote	-	WAL immutability, repair, and tamper detection quotations
140	141	PROMOTE	P-mechanism	-	Identifier reuse for ingest and namespace compatibility
142	143	PROMOTE	P-reason	-	Pre-admission identifiers let offers in one batch reference each other
144	147	PROMOTE	P-quote	-	Timestamp ordering and timeout intervals across clock boundaries
148	149	PROMOTE	P-quote	-	Logged expiry and Kingsbury's timeout determinism qualification
150	151	PROMOTE	P-mechanism	-	One mismatch error code per differing field
152	152	PROMOTE	P-claim	-	Comparative strength of TigerBeetle runtime-version evidence
153	153	PROMOTE	P-quote	-	Prepare-header release quotation
154	154	DEFER	D1	50-50,831-831	Upgrade recorded as a log operation
155	155	PROMOTE	P-quote	-	Checkpoint alignment and cross-version replay assertion example
156	156	PROMOTE	P-mechanism	-	Multiversion binaries retain executable releases
157	159	PROMOTE	P-condition	-	Storage migration promise versus incomplete API stability
160	161	PROMOTE	P-mechanism	-	Reversible closing flag and external immutable mappings
162	163	PROMOTE	P-mechanism	-	External identity checks involving keys, tokens, and revocations
164	165	PROMOTE	P-number	-	Storage format stable since March 2024 and release 0.15.x
166	167	PROMOTE	P-quote	-	Parent checksum verification quotation
168	169	PROMOTE	P-number	-	Default 64 client sessions and oldest-session eviction
170	171	PROMOTE	P-condition	-	Reply-cache session boundaries and different replies after client restart
172	173	PROMOTE	P-reason	-	Cost argument for choosing an explicit chain-start mark now
234	235	DEFER	D2	-	Questions heading
236	236	DEFER	D1	77-77	Strongest challenge to unstored running answers
237	237	PROMOTE	P-quote	-	Exact Workflow API call-sequence constraint
238	238	DEFER	D1	200-200,889-889	Recorded outputs reveal replay divergence
239	239	DEFER	D1	77-77,218-226	Replay remedies depend on histories ending
240	240	PROMOTE	P-number	-	Three-year re-derivation example and permanently runnable builds
241	241	DEFER	D1	200-200,889-892	Unstored answers conceal changed results after runtime rebuilds
242	243	DEFER	D1	77-77,198-198,839-839,889-892	Named replay pair, crossing digests, content, and exact model inputs
244	244	DEFER	D2	-	Runtime version and rebuilds heading
245	245	DEFER	D1	202-202,224-224,831-831	Build identity recorded per work unit
246	246	DEFER	D1	833-833,1051-1052	Deploy-spanning sessions require crossing and verdict stamps
247	248	PROMOTE	P-condition	-	Running answers must read rebuild facts to react
249	250	PROMOTE	P-claim	-	Temporal's years with only one declared behavior
251	252	DEFER	D1	109-109,199-199,763-764,893-893	Recorded time as an input to deterministic answers
253	254	PROMOTE	P-reason	-	Recording polled reads as Updates for speed
255	256	PROMOTE	P-number	-	Restate's default 24-hour idempotency-key retention
257	258	PROMOTE	P-claim	-	Both gates attempting writes at every failover
259	260	PROMOTE	P-quote	-	Reset-run history copying through the reset point
261	262	PROMOTE	P-claim	-	Failed tasks record the build that failed them
263	264	PROMOTE	P-quote	-	Payload codec host-control quotation
265	266	PROMOTE	P-claim	-	Temporary recovery histories identified as the largest difference
331	332	DEFER	D2	-	Questions heading
333	334	PROMOTE	P-mechanism	-	Leopard update tuple, deletion marker, and heartbeat resume protocol
335	336	PROMOTE	P-claim	-	Opaque token identified as the group's most portable idea
337	337	DEFER	D2	-	Visibility before permissions and lagging policy heading
338	338	DEFER	D1	297-301,768-768	Visibility snapshot no older than displayed content
339	339	PROMOTE	P-condition	-	Cheap policy freshness requires shared ordering
340	340	DEFER	D1	827-827,1091-1091	Recorded policy positions expose admission under withdrawn rules
341	342	PROMOTE	P-claim	-	Bootstrap search terms and limits of the documentation sweep
343	343	DEFER	D2	-	Policies as facts heading
344	344	DEFER	D1	309-309	Space and bulk-change reasons against per-object rule records
345	345	DEFER	D1	323-323	External policy needs separate snapshot freshness discipline
346	346	PROMOTE	P-reason	-	Key-and-layer policies avoid Zanzibar's per-entity storage cost
347	348	PROMOTE	P-mechanism	-	Ordinary lock tuples detect write races
349	350	PROMOTE	P-condition	-	Masking layers create deny-by-position and complicate reverse visibility
351	352	PROMOTE	P-mechanism	-	Zanzibar identifier formats and SpiceDB's replacement of GAIA users
353	354	PROMOTE	P-claim	-	No erasure information reported for Zanzibar
409	410	DEFER	D2	-	Questions heading
411	411	DEFER	D2	-	Pointer identity heading
412	412	PROMOTE	P-quote	-	Primary-key mapping and version exclusion from Protocol Buffer records
413	413	DEFER	D1	396-399,812-812	Incarnation prefixes survive moves without restamping old records
414	415	PROMOTE	P-claim	-	Gate-number pointers prevent references among unadmitted batch offers
416	417	PROMOTE	P-mechanism	-	Identifiers minted inside Rama streaming topologies are not retry-safe
418	418	DEFER	D2	-	Order heading
419	419	PROMOTE	P-condition	-	Single ordering requires every log server to hear every number
420	420	PROMOTE	P-quote	-	Recovery rollback and multi-region durability-loss quotations
421	422	PROMOTE	P-claim	-	Worldwide sequencer-region round trips and FoundationDB's untried scope
423	424	PROMOTE	P-quote	-	Unknown-result guarantee that uncommitted transactions never commit later
425	425	DEFER	D2	-	Read dependencies and paths heading
426	426	PROMOTE	P-mechanism	-	Tracked read ranges include a read version
427	427	PROMOTE	P-claim	-	Ordinary versus snapshot reads as dependency commitments
428	428	DEFER	D1	403-403	Manual dependency marking causes hard-to-find bugs
429	430	DEFER	D1	793-793	Tool-defined dependency marks prevent misleading staleness
431	432	PROMOTE	P-quote	-	Detailed field-number serialization and metadata rename quotations
433	434	PROMOTE	P-mechanism	-	Store-header counters and simultaneous FoundationDB process restarts
435	436	PROMOTE	P-number	-	Safe 32-bit to 64-bit type change and index lifecycle
